ot,to
i,i
woh,who
hwo,who
ohw,how
hwo,how
teh,the
tow,two
cna,can
acn,can
anc,can
wlil,will
em,me
hlp,help
elp,help
hel,help
ti,it
fo,of
yu,you
na,an
th,the
ma,am
nto,not
godo,good
fyl,fly
wnat,want
si,is
cn,can
ni,in
nwe,new
enw,new
wen,new
otu,out
ym,my
di,id
eb,be
fro,for
ulr,url
gte,get
tge,get
etg,get
deu,due
edu,due
eud,due
nto,not
fwe,few
wfe,few
wef,few
sa,as
aer,are
rae,are
lwo,low
ym,my
nto,not
ont,not
het,the
hte,the
eht,the
uot,out
otu,out
ppo,pop
opp,pop
lgo,log
olg,log
sya,say
asy,say
ayn,any
nay,any
yna,any
nwo,now
onw,now
abel,able
bale,able
albe,able
lal,all
bda,bad
dba,bad
adb,bad
tpo,top
pto,top
opt,top
lgo,log
olg,log
ti,it
lte,let
elt,let

